Feature_Set,Model,CV_Mean,CV_Std,Test_Acc,AUC_ROC,Time_sec
Original (5 features),Logistic Regression,0.45897435897435895,0.08334319468279493,0.3076923076923077,0.4285714285714286,0.058598031995643396
Original (5 features),Random Forest,0.44102564102564096,0.14770877757171075,0.23076923076923078,0.2380952380952381,1.5076785429992015
Original (5 features),SVM (RBF),0.4256410256410256,0.0930348849052653,0.3076923076923077,0.6666666666666667,0.04374513500079047
Original (5 features),KNN (k=5),0.45769230769230773,0.15778087985764375,0.38461538461538464,0.33333333333333337,0.024865842002327554
Polynomial (20 features),Logistic Regression,0.4256410256410256,0.05567705320668838,0.23076923076923078,0.40476190476190477,0.12030933500500396
Polynomial (20 features),Random Forest,0.4282051282051282,0.16505134379368117,0.23076923076923078,0.19047619047619047,1.4172746889962582
Polynomial (20 features),SVM (RBF),0.39230769230769236,0.11703941580540722,0.38461538461538464,0.6428571428571429,0.0452696249994915
Polynomial (20 features),KNN (k=5),0.47307692307692306,0.15984048590265332,0.46153846153846156,0.380952380952381,0.06261735199950635
